ORGANIZAÇÃO;SERVIÇO;NOME FANTASIA;CAPAC.; VALOR MENSAL 
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS I POR 16 HORAS para apoio à CAPE;0;80;70099
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;SAICA SÃO MATEUS V;20;68759
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;NÚCLEO DE PROTEÇÃO JURÍDICO SOCIAL E APOIO PSICOLÓGICO - NPJ;CREAS TREMEMBÉ;120;41607
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;PROJETO ESPECIAL AUTONOMIA EM FOCO;AUTONOMIA EM FOCO I;150;136953
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA ÀS PESSOAS EM SITUAÇÃO DE RUA. MODALIDADE CENTRO DE ACOLHIDA ESPECIAL PARA IDOSOS;ACONCHEGO;60;61210
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS, COM LAVANDERIA E RESTAURANTE;OFICINA BORACEA;640;501220
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;REPÚBLICA PARA ADULTOS;"CASA 1; CASA 2; CASA 3; CASA 4";60;14834
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA ESPECIAL PARA MULHERES;CAE PARA MULHERES ESPERANÇA;50;80550
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;NÚCLEO DE PROTEÇÃO JURÍDICO SOCIAL E APOIO PSICOLÓGICO - NPJ;NPJ ERMELINO MATARAZZO;120;26803
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA PESSOAS EM SITUAÇÃO DE RUA - MODALIDADE CENTRO DE ACOLHIDA ESPECIAL PARA MULHERES;CAE NOVA ESPERANÇA;100;133296
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;NÚCLEO DE CONVIVÊNCIA PARA ADULTOS EM SITUAÇÃO DE RUA;0;450;221042
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;SCFV - Serviço de convivência e Fortalecimento de Vínculos - MODALIDADE CENTRO DE CONVIVÊNCIA INTERGERACIONAL - CCINTER;CENTRO DE CONVIVÊNCIA INTERGERACIONAL VILA NILO;120;44885
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CENTRO DE ACOLHIDA NOVA VIDA;200;112549
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CENTRO TEMPORÁRIO DE ATENDIMENTO - CTA BRÁS;264;174717
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;ESPAÇO LUZ;250;161279
ARCO ASSOCIAÇÃO BENEFICENTE;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;ARCO;360;94948
ARCO ASSOCIAÇÃO BENEFICENTE;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;ARCO ;60;29070
ARRASTÃO MOVIMENTO DE PROMOÇÃO HUMANA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;ARRASTÃO;300;82721
ARRASTÃO MOVIMENTO DE PROMOÇÃO HUMANA;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;ARRASTÃO;90;34528
ASSISTÊNCIA COMUNITÁRIA DE AÇÃO SOCIAL DE SÃO MIGUEL PAULISTA - ACAS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA ACAS;450;123394
ASSISTÊNCIA COMUNITÁRIA DE AÇÃO SOCIAL DE SÃO MIGUEL PAULISTA - ACAS;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;QP ACAS;540;156944
ASSISTÊNCIA E PROMOÇÃO SOCIAL EXÉRCITO DA SALVAÇÃO - APROSES;CENTRO DE ACOLHIDA PARA MULHERES EM SITUAÇÃO DE VIOLÊNCIA;HELENE LONDAHL;20;38943
ASSISTÊNCIA SOCIAL A COLMEIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;RODOLFO PIRANI;120;37738
ASSISTÊNCIA SOCIAL A COLMEIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;VILA BELA;60;25332
ASSISTÊNCIA SOCIAL A COLMEIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;COLMÉIA;120;37738
ASSISTÊNCIA SOCIAL A COLMEIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA NOSSA SENHORA DO CARMO;180;55129
ASSISTÊNCIA SOCIAL LAR DITOSO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;LAR DITOSO;120;37738
ASSISTÊNCIA SOCIAL LAR DITOSO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA GOTAS DE ESPERANÇA;120;43738
ASSOCIAÇÃO  AMIGOS DE PIANORO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA ENRICO GIUST;120;41208
ASSOCIAÇÃO ALIANÇA DE MISERICÓRDIA;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF CENTRO MARIA PAOLA;1000;60305
ASSOCIAÇÃO ALIANÇA DE MISERICÓRDIA;CENTRO DE ACOLHIDA AS PESSOAS EM SITUAÇÃO DE RUA - MODALIDADE CENTRO DE ACOLHIDA ESPECIAL PARA IDOSOS;MORADA NOVA LUZ;100;127293
ASSOCIAÇÃO ALIANÇA DE MISERICÓRDIA;NÚCLEO DE CONVIVÊNCIA PARA ADULTOS EM SITUAÇÃO DE RUA;CASA RESTAURA-ME;450;177745
ASSOCIAÇÃO ALIANÇA DE MISERICÓRDIA;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;CASA NAIM SANTA BERNADETE;20;67805
